"zw.lat","zw.lng","Province","Status","Class","ProvinceClass","CountProvinceClass"
-17.35,30.2,"mashonaland west","Active","Pending A Level Reassignment","mashonaland west Pending A Level Reassignment",1908
-18.1833,31.55,"mashonaland east","Active","Pending A Level Reassignment","mashonaland east Pending A Level Reassignment",366
-17.3,31.3333,"mashonaland central","Active","Pending A Level Reassignment","mashonaland central Pending A Level Reassignment",2211
-17.8292,31.0522,"harare","Active","Pending A Level Reassignment","harare Pending A Level Reassignment",1142
-18.9728,32.6694,"manicaland","Active","Pending A Level Reassignment","manicaland Pending A Level Reassignment",87
-19.458,29.82,"midlands","Active","Pending A Level Reassignment","midlands Pending A Level Reassignment",2346
-20.0744,30.8328,"masvingo","Active","Pending A Level Reassignment","masvingo Pending A Level Reassignment",1980
-20.1667,28.5667,"bulawayo","Active","Pending A Level Reassignment","bulawayo Pending A Level Reassignment",410
-20.0744,30.8328,"masvingo","Active","Form 1","masvingo Form 1",204
-17.35,30.2,"mashonaland west","Active","Form 3","mashonaland west Form 3",336
-17.8292,31.0522,"harare","Active","Special Class","harare Special Class",40
-17.8292,31.0522,"harare","Active","First Year - Second Semester","harare First Year - Second Semester",18
-20.1667,28.5667,"bulawayo","Active","FORM 2","bulawayo FORM 2",26
-17.8292,31.0522,"harare","Active","First Year","harare First Year",28
-19.458,29.82,"midlands","Active","Form 4","midlands Form 4",237
-19.458,29.82,"midlands","Active","Form 3","midlands Form 3",138
-17.35,30.2,"mashonaland west","Active","First Year","mashonaland west First Year",32
-18.1833,31.55,"mashonaland east","Active","First Year","mashonaland east First Year",15
-19.458,29.82,"midlands","Active","Pending Post Graduate Reassignment","midlands Pending Post Graduate Reassignment",126
-18.1833,31.55,"mashonaland east","Active","Form 4","mashonaland east Form 4",228
-18.1833,31.55,"mashonaland east","Active","First Year - First Semester","mashonaland east First Year - First Semester",12
-18.1833,31.55,"mashonaland east","Active","Pending Tertiary Reassignment","mashonaland east Pending Tertiary Reassignment",141
-20.0744,30.8328,"masvingo","Active","Pending Tertiary Reassignment","masvingo Pending Tertiary Reassignment",486
-18.9728,32.6694,"manicaland","Active","First Year","manicaland First Year",7
-17.35,30.2,"mashonaland west","Active","Form 6","mashonaland west Form 6",24
-17.35,30.2,"mashonaland west","Active","Fifth Year - Second Semester","mashonaland west Fifth Year - Second Semester",4
-17.3,31.3333,"mashonaland central","Active","Pending Tertiary Reassignment","mashonaland central Pending Tertiary Reassignment",357
-17.3,31.3333,"mashonaland central","Active","Second Year","mashonaland central Second Year",3
-17.8292,31.0522,"harare","Active","Pending Tertiary Reassignment","harare Pending Tertiary Reassignment",440
-17.35,30.2,"mashonaland west","Active","Pending Tertiary Reassignment","mashonaland west Pending Tertiary Reassignment",552
-20.0744,30.8328,"masvingo","Active","First Year - Second Semester","masvingo First Year - Second Semester",15
-20.1667,28.5667,"bulawayo","Active","Fourth Year","bulawayo Fourth Year",29
-17.8292,31.0522,"harare","Active","Fifth Year","harare Fifth Year",72
-17.8292,31.0522,"harare","Active","Sixth Year","harare Sixth Year",110
-17.3,31.3333,"mashonaland central","Active","Sixth Year","mashonaland central Sixth Year",18
-17.3,31.3333,"mashonaland central","Active","Fourth Year","mashonaland central Fourth Year",9
-20.0744,30.8328,"masvingo","Active","Fourth Year","masvingo Fourth Year",33
-17.8292,31.0522,"harare","Active","Fourth Year","harare Fourth Year",76
-18.1833,31.55,"mashonaland east","Active","Fourth Year","mashonaland east Fourth Year",18
-18.9728,32.6694,"manicaland","Active","Fourth Year","manicaland Fourth Year",5
-17.8292,31.0522,"harare","Active","Second Year","harare Second Year",34
